sample,gt,n,total,sex,prop
600_601a_grnson,0/0,8,728,male,0.01098901098901099
600_601a_grnson,0/1,719,728,male,0.9876373626373627
600_601a_grnson,1/1,1,728,male,0.0013736263736263737
57_58a_grndat,0/0,6,11,female,0.5454545454545454
57_58a_grndat,0/1,5,11,female,0.45454545454545453
57_58a_grndat,1/1,0,11,female,0
57_58b_grnson,0/0,4,7,male,0.5714285714285714
57_58b_grnson,0/1,3,7,male,0.42857142857142855
57_58b_grnson,1/1,0,7,male,0
502_503a_grndat,0/0,4,5,female,0.8
502_503a_grndat,0/1,1,5,female,0.2
502_503a_grndat,1/1,0,5,female,0
502_503b_grnson,0/0,1,4,male,0.25
502_503b_grnson,0/1,3,4,male,0.75
502_503b_grnson,1/1,0,4,male,0
502_503f_grndat,0/0,6,11,female,0.5454545454545454
502_503f_grndat,0/1,5,11,female,0.45454545454545453
502_503f_grndat,1/1,0,11,female,0
46_47c_grndat,0/0,11,18,female,0.6111111111111112
46_47c_grndat,0/1,7,18,female,0.3888888888888889
46_47c_grndat,1/1,0,18,female,0
46_47d_grnson,0/0,8,15,male,0.5333333333333333
46_47d_grnson,0/1,7,15,male,0.4666666666666667
46_47d_grnson,1/1,0,15,male,0
412_413a_grnson,0/0,51,60,male,0.85
412_413a_grnson,0/1,9,60,male,0.15
412_413a_grnson,1/1,0,60,male,0
338_339a_grndat,0/0,938,2280,female,0.4114035087719298
338_339a_grndat,0/1,1342,2280,female,0.5885964912280702
338_339a_grndat,1/1,0,2280,female,0
338_339b_grnson,0/0,24,761,male,0.03153745072273324
338_339b_grnson,0/1,729,761,male,0.9579500657030223
338_339b_grnson,1/1,8,761,male,0.010512483574244415
476_477a_grndat,0/0,122,329,female,0.3708206686930091
476_477a_grndat,0/1,207,329,female,0.6291793313069909
476_477a_grndat,1/1,0,329,female,0
476_477b_grnson,0/0,46,332,male,0.13855421686746988
476_477b_grnson,0/1,281,332,male,0.8463855421686747
476_477b_grnson,1/1,5,332,male,0.015060240963855422
476_477c_grndat,0/0,204,347,female,0.5878962536023055
476_477c_grndat,0/1,143,347,female,0.41210374639769454
476_477c_grndat,1/1,0,347,female,0
476_477d_grndat,0/0,270,345,female,0.782608695652174
476_477d_grndat,0/1,75,345,female,0.21739130434782608
476_477d_grndat,1/1,0,345,female,0
322_323a_grndat,0/0,2,2,female,1
322_323a_grndat,0/1,0,2,female,0
322_323a_grndat,1/1,0,2,female,0
302_303b_grnson,0/0,25,1443,male,0.017325017325017324
302_303b_grnson,0/1,1412,1443,male,0.9785169785169785
302_303b_grnson,1/1,6,1443,male,0.004158004158004158
110_111c_grnson,0/0,4,6,male,0.6666666666666666
110_111c_grnson,0/1,2,6,male,0.3333333333333333
110_111c_grnson,1/1,0,6,male,0
110_111d_grndat,0/0,5,6,female,0.8333333333333334
110_111d_grndat,0/1,1,6,female,0.16666666666666666
110_111d_grndat,1/1,0,6,female,0
596_597a_grnson,0/0,3,3,male,1
596_597a_grnson,0/1,0,3,male,0
596_597a_grnson,1/1,0,3,male,0
240_241a_grndat,0/0,42,55,female,0.7636363636363637
240_241a_grndat,0/1,13,55,female,0.23636363636363636
240_241a_grndat,1/1,0,55,female,0
240_241b_grndat,0/0,8,12,female,0.6666666666666666
240_241b_grndat,0/1,4,12,female,0.3333333333333333
240_241b_grndat,1/1,0,12,female,0
240_241c_grnson,0/0,6,7,male,0.8571428571428571
240_241c_grnson,0/1,1,7,male,0.14285714285714285
240_241c_grnson,1/1,0,7,male,0
187_188a_grnson,0/0,1,10,male,0.1
187_188a_grnson,0/1,8,10,male,0.8
187_188a_grnson,1/1,1,10,male,0.1
300_301a_grnson,0/0,1,1,male,1
300_301a_grnson,0/1,0,1,male,0
300_301a_grnson,1/1,0,1,male,0
177_178a_grndat,0/0,14,28,female,0.5
177_178a_grndat,0/1,13,28,female,0.4642857142857143
177_178a_grndat,1/1,1,28,female,0.03571428571428571
177_178b_grnson,0/0,2,28,male,0.07142857142857142
177_178b_grnson,0/1,22,28,male,0.7857142857142857
177_178b_grnson,1/1,4,28,male,0.14285714285714285
133_134a_grnson,0/0,31,715,male,0.043356643356643354
133_134a_grnson,0/1,675,715,male,0.9440559440559441
133_134a_grnson,1/1,9,715,male,0.012587412587412588
284_285a_grnson,0/0,29,437,male,0.06636155606407322
284_285a_grnson,0/1,406,437,male,0.9290617848970252
284_285a_grnson,1/1,2,437,male,0.004576659038901602
284_285b_grndat,0/0,453,739,female,0.6129905277401895
284_285b_grndat,0/1,286,739,female,0.3870094722598105
284_285b_grndat,1/1,0,739,female,0
400_401a_grnson,0/0,100,122,male,0.819672131147541
400_401a_grnson,0/1,22,122,male,0.18032786885245902
400_401a_grnson,1/1,0,122,male,0
478_479-1a_grnson,0/0,14,1051,male,0.013320647002854425
478_479-1a_grnson,0/1,1034,1051,male,0.9838249286393911
478_479-1a_grnson,1/1,3,1051,male,0.0028544243577545195
478_479-1b_grndat,0/0,217,552,female,0.39311594202898553
478_479-1b_grndat,0/1,330,552,female,0.5978260869565217
478_479-1b_grndat,1/1,5,552,female,0.009057971014492754
478_479-2a_grndat,0/0,72,134,female,0.5373134328358209
478_479-2a_grndat,0/1,62,134,female,0.4626865671641791
478_479-2a_grndat,1/1,0,134,female,0
478_479-2b_grnson,0/0,8,131,male,0.061068702290076333
478_479-2b_grnson,0/1,118,131,male,0.9007633587786259
478_479-2b_grnson,1/1,5,131,male,0.03816793893129771
478_479-2d_grndat,0/0,122,240,female,0.5083333333333333
478_479-2d_grndat,0/1,115,240,female,0.4791666666666667
478_479-2d_grndat,1/1,3,240,female,0.0125
43_44a_grndat,0/0,12,26,female,0.46153846153846156
43_44a_grndat,0/1,13,26,female,0.5
43_44a_grndat,1/1,1,26,female,0.038461538461538464
43_44b_grnson,0/0,1,10,male,0.1
43_44b_grnson,0/1,8,10,male,0.8
43_44b_grnson,1/1,1,10,male,0.1
564_565-1b_grnson,0/0,0,37,male,0
564_565-1b_grnson,0/1,37,37,male,1
564_565-1b_grnson,1/1,0,37,male,0
